IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WSH_1,SDG 3.9.2 WASH deaths,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,5122,,,,,,5122,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,5126,,,,,,5126,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,5173,,,,,,5173,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,true,Sex,Male,MLE,,,,,,,,,,52,,,,,,52,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,true,Sex,Male,MLE,,,,,,,,,,528,,,,,,528,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,5282,,,,,,5282,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,5301,,,,,,5301,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,533,,,,,,533,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,537,,,,,,537,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,54,,,,,,54,,,EN,2022-11-06T23:00:00.000Z
WSH_1,SDG 3.9.2 WASH deaths,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,5433,,,,,,5433,,,EN,2022-11-06T23:00:00.000Z
